Reading,Value
2019-05-31,53.12
2019-06-01,53.14
2019-06-02,53.01
2019-06-03,53.25
2019-06-04,53.28
2019-06-05,26.05
2019-06-06,40.07
2019-06-07,53.33
2019-06-08,53.17
2019-06-09,53.14
2019-06-10,53.08
2019-06-11,39.39
2019-06-12,39.85
2019-06-13,39.88
2019-06-14,53.16
2019-06-15,53.14
2019-06-16,53.13
2019-06-17,52.55
2019-06-18,40.07
2019-06-19,53.12
2019-06-20,53.02
2019-06-21,53.31
2019-06-22,53.31
2019-06-23,39.46
2019-06-24,53.24
2019-06-25,53.01
2019-06-26,53.24
2019-06-27,39.9
2019-06-28,53.12
2019-06-29,53.26
2019-06-30,53.08
