,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata
2019-05-01 00:00:00,2.51968,63.734,1.84926861898,0.0
2019-05-01 00:15:00,2.48031,63.5,1.81970085861,0.0
2019-05-01 00:30:00,2.48031,63.5,1.85780445509,0.0
2019-05-01 00:45:00,2.48031,63.374,1.90107827992,0.0
2019-05-01 01:00:00,2.44094,63.338,1.92752491319,0.0
2019-05-01 01:15:00,2.40157,63.338,1.94536008162,0.0
2019-05-01 01:30:00,2.40157,63.302,1.99526231497,0.0
2019-05-01 01:45:00,2.40157,63.14,2.05589059598,0.0
2019-05-01 02:00:00,2.40157,63.14,2.06538015581,0.0
2019-05-01 02:15:00,2.44094,63.14,2.0796966871,0.0
2019-05-01 02:30:00,2.44094,63.104,2.08929613085,0.0
2019-05-01 02:45:00,2.40157,63.014,2.09411245585,0.0
2019-05-01 03:00:00,2.40157,62.96,2.09411245585,0.0
2019-05-01 03:15:00,2.44094,63.122,2.09411245585,0.0
2019-05-01 03:30:00,2.40157,63.14,2.09411245585,0.0
2019-05-01 03:45:00,2.40157,63.122,2.09893988362,0.0
2019-05-01 04:00:00,2.40157,62.96,2.10377843977,0.0
2019-05-01 04:15:00,2.40157,62.96,2.10377843977,0.0
2019-05-01 04:30:00,2.40157,62.96,2.10862814993,0.0
2019-05-01 04:45:00,2.40157,62.96,2.10862814993,0.0
2019-05-01 05:00:00,2.48031,62.96,2.11348903984,0.0
2019-05-01 05:15:00,2.44094,62.96,2.10862814993,0.0
2019-05-01 05:30:00,2.44094,63.122,2.09893988362,0.0
2019-05-01 05:45:00,2.48031,63.14,2.07014134879,0.0
2019-05-01 06:00:00,2.44094,63.14,2.05589059598,0.0
2019-05-01 06:15:00,2.48031,63.14,2.04644463672,0.0
2019-05-01 06:30:00,2.48031,63.086,2.03704207771,0.0
2019-05-01 06:45:00,2.55905,62.96,2.04173794467,0.0
2019-05-01 07:00:00,2.63779,63.194,2.03235701094,0.0
2019-05-01 07:15:00,2.59842,63.338,2.02768271952,0.0
2019-05-01 07:30:00,2.51968,63.5,1.98609491736,0.0
2019-05-01 07:45:00,2.48031,63.32,1.90546071796,0.0
2019-05-01 08:00:00,2.3622,63.32,1.89234361864,0.0
2019-05-01 08:15:00,2.44094,63.248,1.92309172891,0.0
2019-05-01 08:30:00,2.48031,63.32,1.97696964011,0.0
2019-05-01 08:45:00,2.40157,63.32,1.98152702581,0.0
2019-05-01 09:00:00,2.40157,63.194,1.97242273611,0.0
2019-05-01 09:15:00,2.40157,63.122,1.96788628971,0.0
2019-05-01 09:30:00,2.3622,62.96,1.99986186963,0.0
2019-05-01 09:45:00,2.3622,63.05,2.02301917868,0.0
2019-05-01 10:00:00,2.3622,63.14,2.03235701094,0.0
2019-05-01 10:15:00,2.40157,63.14,2.04173794467,0.0
2019-05-01 10:30:00,2.40157,63.05,2.05116217883,0.0
2019-05-01 10:45:00,2.40157,62.96,2.06538015581,0.0
2019-05-01 11:00:00,2.40157,62.996,2.07014134879,0.0
2019-05-01 11:15:00,2.40157,63.158,2.07014134879,0.0
2019-05-01 11:30:00,2.40157,63.428,2.0796966871,0.0
2019-05-01 11:45:00,2.44094,63.608,2.07491351745,0.0
2019-05-01 12:00:00,2.44094,63.77,2.07491351745,0.0
2019-05-01 12:15:00,2.63779,64.202,2.0796966871,0.0
2019-05-01 12:30:00,2.55905,64.814,2.05589059598,0.0
2019-05-01 12:45:00,2.44094,64.94,1.93196831702,0.0
2019-05-01 13:00:00,2.44094,64.94,1.92309172891,0.0
2019-05-01 13:15:00,2.44094,65.12,1.96336027684,0.0
2019-05-01 13:30:00,2.44094,65.156,1.99526231497,0.0
2019-05-01 13:45:00,2.40157,65.3,1.99526231497,0.0
2019-05-01 14:00:00,2.40157,65.264,1.99986186963,0.0
2019-05-01 14:15:00,2.44094,65.048,2.01836636368,0.0
2019-05-01 14:30:00,2.44094,64.94,2.03235701094,0.0
2019-05-01 14:45:00,2.3622,64.94,2.03235701094,0.0
2019-05-01 15:00:00,2.40157,64.94,2.01372424986,0.0
2019-05-01 15:15:00,2.3622,64.94,2.01372424986,0.0
2019-05-01 15:30:00,2.3622,64.778,2.02768271952,0.0
2019-05-01 15:45:00,2.3622,64.76,2.03704207771,0.0
2019-05-01 16:00:00,2.40157,64.58,2.05589059598,0.0
2019-05-01 16:15:00,2.40157,64.724,2.06062991327,0.0
2019-05-01 16:30:00,2.40157,64.76,2.06062991327,0.0
2019-05-01 16:45:00,2.3622,64.76,2.06538015581,0.0
2019-05-01 17:00:00,2.3622,64.76,2.07014134879,0.0
2019-05-01 17:15:00,2.40157,64.778,2.07014134879,0.0
2019-05-01 17:30:00,2.40157,64.94,2.07014134879,0.0
2019-05-01 17:45:00,2.40157,64.94,2.07014134879,0.0
2019-05-01 18:00:00,2.40157,64.85,2.07491351745,0.0
2019-05-01 18:15:00,2.3622,64.76,2.07491351745,0.0
2019-05-01 18:30:00,2.3622,64.67,2.07014134879,0.0
2019-05-01 18:45:00,2.40157,64.58,2.07491351745,0.0
2019-05-01 19:00:00,2.40157,64.706,2.07014134879,0.0
2019-05-01 19:15:00,2.40157,64.76,2.07491351745,0.0
2019-05-01 19:30:00,2.40157,64.742,2.0796966871,0.0
2019-05-01 19:45:00,2.40157,64.526,2.0796966871,0.0
2019-05-01 20:00:00,2.40157,64.328,2.0844908831,0.0
2019-05-01 20:15:00,2.40157,64.13,2.0844908831,0.0
2019-05-01 20:30:00,2.44094,63.986,2.09411245585,0.0
2019-05-01 20:45:00,2.87401,63.986,2.07014134879,0.0
2019-05-01 21:00:00,3.38582,65.156,1.48936107771,0.0
2019-05-01 21:15:00,2.79527,65.93,1.38995263121,0.0
2019-05-01 21:30:00,2.55905,65.516,1.62554875575,0.0
2019-05-01 21:45:00,2.51968,64.994,1.96788628971,0.0
2019-05-01 22:00:00,2.99212,64.886,1.96336027684,0.0
2019-05-01 22:15:00,2.99212,65.21,1.65958690744,0.0
2019-05-01 22:30:00,2.99212,65.3,1.5885467486,0.0
2019-05-01 22:45:00,3.18897,65.3,1.54881661891,0.0
2019-05-01 23:00:00,3.22834,65.606,1.3677288256,0.0
2019-05-01 23:15:00,2.91338,65.678,1.33967668743,0.0
2019-05-01 23:30:00,3.46456,65.714,1.38675582887,0.0
2019-05-01 23:45:00,3.03149,65.93,1.22743923116,0.0
2019-05-02 00:00:00,2.79527,65.606,1.33352143216,0.0
2019-05-02 00:15:00,2.79527,65.282,1.46892627764,0.0
2019-05-02 00:30:00,2.67716,65.066,1.54525443954,0.0
2019-05-02 00:45:00,2.99212,64.922,1.61808003764,0.0
2019-05-02 01:00:00,2.79527,64.994,1.59587914724,0.0
2019-05-02 01:15:00,2.7559,64.868,1.57398286447,0.0
2019-05-02 01:30:00,2.87401,64.76,1.59587914724,0.0
2019-05-02 01:45:00,2.63779,64.706,1.55955250283,0.0
2019-05-02 02:00:00,2.55905,64.454,1.60324539069,0.0
2019-05-02 02:15:00,2.67716,64.256,1.73380399775,0.0
2019-05-02 02:30:00,2.59842,64.22,1.83653834335,0.0
2019-05-02 02:45:00,2.51968,63.986,1.80717412601,0.0
2019-05-02 03:00:00,2.48031,63.662,1.81551566277,0.0
2019-05-02 03:15:00,2.44094,63.428,1.87499450807,0.0
2019-05-02 03:30:00,2.40157,63.23,1.91866874067,0.0
2019-05-02 03:45:00,2.44094,63.14,1.94984459976,0.0
2019-05-02 04:00:00,3.11023,63.446,1.706082389,0.0
2019-05-02 04:15:00,2.59842,64.31,1.37720946889,0.0
2019-05-02 04:30:00,2.44094,64.004,1.65958690744,0.0
2019-05-02 04:45:00,2.44094,63.518,1.92752491319,0.0
2019-05-02 05:00:00,2.44094,63.23,1.98609491736,0.0
2019-05-02 05:15:00,2.44094,63.122,2.00447202737,0.0
2019-05-02 05:30:00,2.7559,63.014,2.00909281261,0.0
2019-05-02 05:45:00,2.79527,63.662,1.90546071796,0.0
2019-05-02 06:00:00,2.67716,63.41,1.79060585404,0.0
2019-05-02 06:15:00,2.79527,63.446,1.79887091513,0.0
2019-05-02 06:30:00,2.99212,63.734,1.76197604641,0.0
2019-05-02 06:45:00,2.63779,63.68,1.71395730751,0.0
2019-05-02 07:00:00,2.48031,63.554,1.69433780045,0.0
2019-05-02 07:15:00,2.44094,63.338,1.81970085861,0.0
2019-05-02 07:30:00,2.44094,63.32,1.94536008162,0.0
2019-05-02 07:45:00,2.44094,63.374,1.98609491736,0.0
2019-05-02 08:00:00,2.44094,63.5,2.00447202737,0.0
2019-05-02 08:15:00,2.44094,63.5,2.02301917868,0.0
2019-05-02 08:30:00,2.44094,63.5,2.02768271952,0.0
2019-05-02 08:45:00,2.44094,63.5,2.03704207771,0.0
2019-05-02 09:00:00,2.48031,63.5,2.04173794467,0.0
2019-05-02 09:15:00,2.48031,63.5,2.04644463672,0.0
2019-05-02 09:30:00,2.48031,63.5,2.04644463672,0.0
2019-05-02 09:45:00,2.44094,63.59,2.04173794467,0.0
2019-05-02 10:00:00,2.44094,63.68,2.04173794467,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 11:45:00,2.44094,64.58,2.02301917868,0.0
2019-05-02 12:00:00,2.44094,64.688,2.02768271952,0.0
2019-05-02 12:15:00,2.48031,64.76,2.03235701094,0.0
2019-05-02 12:30:00,2.44094,64.994,2.03704207771,0.0
2019-05-02 12:45:00,2.44094,65.228,2.04173794467,0.0
2019-05-02 13:00:00,2.40157,65.444,2.04644463672,0.0
2019-05-02 13:15:00,2.44094,65.588,2.05116217883,0.0
2019-05-02 13:30:00,2.44094,65.714,2.05589059598,0.0
2019-05-02 13:45:00,2.44094,65.84,2.05589059598,0.0
2019-05-02 14:00:00,2.44094,65.84,2.05589059598,0.0
2019-05-02 14:15:00,2.44094,65.84,2.06062991327,0.0
