,calculated_offset,overall_offset,total_offset
CAR-070,-5.118113542,0.09,-5.028113542
CAR-072,-3.930448954,0,-3.930448954
CAR-072B,-2.54101224,-0.065,-2.60601224
CAR-072O,-2.624673376,-0.045,-2.669673376
SDG-072,-6.489504905,0.06,-6.429504905
SDG-080,-1.11122339,0,-1.11122339
SDG-084,-1.259843827,-0.1,-1.359843827
SDG-084J,-2.185040917,0.1,-2.085040917
SDG-085,-3.451446252,0,-3.451446252
SDG-085G,-4.199477392,0.1,-4.099477392
SDG-085M,-5.639767293,0.03,-5.609767293
SDR-036,-3.100395837,0,-3.100395837
SDR-041,-7.729924389,1.63,-6.099924389
SDR-064,-2.874017061,-0.15,-3.024017061
SDR-097,-2.073491643,-0.05,-2.123491643
SDR-098,-1.758531303,,-1.758531303
SDR-1024,-2.532809986,,-2.532809986
SDR-1031,-1.832678181,,-1.832678181
SDR-127,-3.530185881,0,-3.530185881
SDR-127B,-4.576773902,-0.025,-4.601773902
SDR-203A,-3.818899927,,-3.818899927
SDR-204A,-3.090552988,,-3.090552988
SDR-207,-4.881894048,0.15,-4.731894048
SDR-223,-5.807089899,,-5.807089899
SDR-228,-2.860894075,,-2.860894075
SDR-568,-2.736222439,,-2.736222439
SDR-723,-4.458663612,,-4.458663612
SDR-740,-1.082677686,,-1.082677686
SDR-751,-2.283465922,,-2.283465922
SDR-772,-1.000000791,0.2,-0.800000791
SDR-780,-3.562996686,,-3.562996686
SDR-939,-3.149608106,0,-3.149608106
SLR-045,-3.920607237,0,-3.920607237
SLR-045A,-4.581696745,-0.2,-4.781696745
SLR-045B,-1.496063805,0,-1.496063805
SLR-095,0.078739583,0,0.078739583
SWT-019,-3.434055963,0.25,-3.184055963
SWT-030,-3.12992354,,-3.12992354
SWT-055,-5.462603767,,-5.462603767
SWT-055A,-3.454728098,0,-3.454728098
